NAME,count
"Block Group 2, Census Tract 2701.02, Baltimore city, Maryland",2
"Block Group 2, Census Tract 2702, Baltimore city, Maryland",30
"Block Group 2, Census Tract 2703.01, Baltimore city, Maryland",23
"Block Group 2, Census Tract 2703.02, Baltimore city, Maryland",42
"Block Group 2, Census Tract 2704.01, Baltimore city, Maryland",28
"Block Group 2, Census Tract 2704.02, Baltimore city, Maryland",25
"Block Group 2, Census Tract 2705.01, Baltimore city, Maryland",10
"Block Group 2, Census Tract 2705.02, Baltimore city, Maryland",14
"Block Group 2, Census Tract 2706, Baltimore city, Maryland",29
"Block Group 2, Census Tract 2707.02, Baltimore city, Maryland",5
"Block Group 2, Census Tract 2707.03, Baltimore city, Maryland",14
"Block Group 2, Census Tract 2708.01, Baltimore city, Maryland",11
"Block Group 2, Census Tract 2708.04, Baltimore city, Maryland",4
"Block Group 2, Census Tract 2709.01, Baltimore city, Maryland",3
"Block Group 2, Census Tract 2709.03, Baltimore city, Maryland",17
"Block Group 2, Census Tract 2710.01, Baltimore city, Maryland",1
"Block Group 2, Census Tract 2710.02, Baltimore city, Maryland",9
"Block Group 2, Census Tract 2712, Baltimore city, Maryland",27
"Block Group 2, Census Tract 2713, Baltimore city, Maryland",11
"Block Group 2, Census Tract 2714, Baltimore city, Maryland",41
"Block Group 2, Census Tract 2715.01, Baltimore city, Maryland",15
"Block Group 2, Census Tract 2717, Baltimore city, Maryland",6
"Block Group 2, Census Tract 2718.01, Baltimore city, Maryland",3
"Block Group 2, Census Tract 2718.02, Baltimore city, Maryland",4
"Block Group 2, Census Tract 2719, Baltimore city, Maryland",4
"Block Group 2, Census Tract 2720.04, Baltimore city, Maryland",8
"Block Group 2, Census Tract 2720.05, Baltimore city, Maryland",3
"Block Group 2, Census Tract 2720.07, Baltimore city, Maryland",3
"Block Group 2, Census Tract 2801.02, Baltimore city, Maryland",2
"Block Group 2, Census Tract 2803.01, Baltimore city, Maryland",38
"Block Group 2, Census Tract 2803.02, Baltimore city, Maryland",12
"Block Group 2, Census Tract 2804.01, Baltimore city, Maryland",39
"Block Group 2, Census Tract 2804.03, Baltimore city, Maryland",21
"Block Group 2, Census Tract 2804.04, Baltimore city, Maryland",1
"Block Group 2, Census Tract 2805, Baltimore city, Maryland",2
"Block Group 2, Census Tract 301, Baltimore city, Maryland",16
"Block Group 2, Census Tract 302, Baltimore city, Maryland",4
"Block Group 2, Census Tract 4001, Baltimore County, Maryland",8
"Block Group 2, Census Tract 4002, Baltimore County, Maryland",20
